plm_style_code,style_description,color_code,colorway_short_description,gmh_sector_text,gmh_gender_text,gmh_category_text,gmh_sub_category_text,gmh_sub_brand_code,gmh_sub_brand_text,company_code,distribution_channel_code,site_number,site_text,netslsamt_cy,netslscstmerch_cy,netslsqty_cy,netmsrpamt_cy,netslsamt_ly,netslscstmerch_ly,netslsqty_ly,netmsrpamt_ly,eohttlqty_cy,eohstrqty_cy,intranqty_cy,eohttlqty_ly,eohstrqty_ly,intranqty_ly
MV-39102,Men Day Dresses Luxe,CRM,Cognac,Ready-to-Wear,Men,Dresses,Day Dresses,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,56264.79,14164.69,84,73678.53,58086.32,17085.61,100,87712.53,74,68,6,72,48,0
MV-66349,Women Crossbody Bags Modern,TRP,Taupe,Leather Goods,Women,Handbags,Crossbody Bags,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,8444.61,2415.41,10,10480.79,9614.92,2427.15,11,11528.87,29,25,4,27,26,0
MV-26074,Women Fedoras Slim,BLU,Bleu Marine,Accessories,Women,Hats,Fedoras,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,77803.07,26734.81,154,92821.88,56147.9,21250.55,124,74739.7,500,365,135,329,297,0
MV-75308,Men Ballet Flats,CHP,Champagne,Footwear,Men,Flats,Ballet Flats,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,33911.15,9474.03,141,40474.79,38495.66,12203.35,163,46790.01,190,155,35,259,243,0
MV-69459,Women Rings Signature,BRG,Bordeaux,Accessories,Women,Jewelry,Rings,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,42690.5,11445.15,67,56106.77,33195.67,8956.71,54,45220.38,142,109,33,129,83,0
MV-86556,Women Evening Dresses Classic,CRM,Cognac,Ready-to-Wear,Women,Dresses,Evening Dresses,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,39690.45,12696.24,70,57290.96,40548.66,13619.45,66,54017.19,90,67,23,89,85,0
MV-90209,Men Suit Sets Modern,NVY,Navy,Ready-to-Wear,Men,Suits,Suit Sets,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,502.48,158.53,1,628.18,0.0,0.0,0,0.0,1,0,1,0,0,0
MV-26683,Women Blazers Relaxed,ECR,Ecru,Ready-to-Wear,Women,Outerwear,Blazers,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,103765.61,37992.74,266,129394.22,122263.28,40889.31,309,150311.33,752,646,106,871,564,0
MV-49139,Men Wool Scarves Essential,NOI,Noir,Accessories,Men,Scarves,Wool Scarves,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,63832.5,17390.12,133,82250.08,60678.75,16840.75,134,82868.5,122,78,44,136,134,0
MV-65296,Women Ankle Boots Slim,CRM,Creme,Footwear,Women,Boots,Ankle Boots,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,87880.16,24628.32,143,105225.67,96140.86,32833.01,159,116999.17,394,374,20,390,368,0
MV-33509,Unisex Fedoras Signature,CRM,Cognac,Accessories,Unisex,Hats,Fedoras,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,26336.42,7205.24,68,33967.34,21472.29,5955.04,53,26474.55,141,131,10,92,79,0
MV-16895,Women Leather Belts Slim,ARG,Argent,Leather Goods,Women,Belts,Leather Belts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,19420.45,5817.58,26,26635.56,25258.29,9072.87,32,32782.23,27,16,11,32,26,0
MV-69048,Women Tops Luxe,VRT,Vert,Ready-to-Wear,Women,Tops,Tops,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,69234.79,25956.34,142,92079.06,68956.1,19646.29,139,90133.73,248,154,94,282,233,0
MV-54089,Unisex Blazers,TAN,Tan,Ready-to-Wear,Unisex,Outerwear,Blazers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,6894.8,2461.88,21,9531.1,8009.87,2823.82,27,12254.28,40,31,9,52,38,0
MV-37460,Men Jackets Heritage,BEG,Beige,Ready-to-Wear,Men,Outerwear,Jackets,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,20144.62,5647.55,52,26927.36,18892.18,7121.77,54,27963.02,154,108,46,151,136,0
MV-69446,Unisex Evening Dresses Modern,TAN,Tan,Ready-to-Wear,Unisex,Dresses,Evening Dresses,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,3075.65,975.41,6,4053.2,2996.05,1134.68,6,4053.2,22,14,8,20,15,0
MV-27961,Women Blouses Signature,CRM,Creme,Ready-to-Wear,Women,Tops,Blouses,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,43782.09,14587.49,161,62885.94,38338.21,10384.16,153,59761.17,548,454,94,527,425,0
MV-68529,Men Ankle Boots,NOI,Noir,Footwear,Men,Boots,Ankle Boots,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,6664.82,1910.88,9,8933.31,3983.51,1115.58,6,5955.54,15,9,6,12,10,0
MV-65255,Women Evening Dresses Heritage,GRG,Greige,Ready-to-Wear,Women,Dresses,Evening Dresses,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,9397.14,2982.41,16,13332.59,9310.94,2819.17,17,14165.87,11,7,4,9,8,0
MV-79924,Unisex Blazers Modern,SBL,Sable,Ready-to-Wear,Unisex,Outerwear,Blazers,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,30341.99,11040.34,51,38073.26,36854.8,9601.77,66,49271.28,146,111,35,175,159,0
MV-96760,Women Blouses Signature,BRG,Bordeaux,Ready-to-Wear,Women,Tops,Blouses,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,38956.32,12623.27,91,53668.77,48959.25,13041.98,115,67823.17,227,153,74,232,178,0
MV-73242,Men Chain Belts Luxe,ROG,Rouge,Leather Goods,Men,Belts,Chain Belts,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,24971.98,8274.76,61,29922.92,22261.19,7472.21,53,25998.61,95,65,30,78,62,0
MV-69473,Women Chain Belts Heritage,TRP,Taupe,Leather Goods,Women,Belts,Chain Belts,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,14263.47,4439.91,16,19254.12,11909.58,3825.61,15,18050.74,14,11,3,13,8,0
MV-16839,Unisex Key Holders Luxe,BEG,Beige,Leather Goods,Unisex,Small Leather Goods,Key Holders,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,613.48,192.45,1,881.39,0.0,0.0,0,0.0,1,0,1,0,0,0
MV-70521,Men Mules Luxe,BRG,Bordeaux,Footwear,Men,Heels,Mules,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,59434.79,17305.85,89,82224.51,67268.02,21963.32,94,86843.87,79,48,31,82,58,0
MV-41029,Women Ballet Flats Luxe,SBL,Sable,Footwear,Women,Flats,Ballet Flats,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,200799.68,60457.97,267,272852.34,264248.68,84003.16,328,335189.39,154,144,10,206,125,0
MV-64524,Women Check-In Modern,ECR,Ecru,Leather Goods,Women,Luggage,Check-In,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,90279.85,27652.01,105,121933.24,94416.31,24857.93,122,141674.82,219,185,34,204,193,0
MV-52487,Men Mini Bags Luxe,CAM,Camel,Leather Goods,Men,Handbags,Mini Bags,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,34808.37,9598.31,39,49962.12,36108.7,10457.21,43,55086.44,73,61,12,74,50,0
MV-22833,Women Midi Dresses Classic,BRG,Bordeaux,Ready-to-Wear,Women,Dresses,Midi Dresses,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,61248.67,15327.16,148,81330.76,69108.08,18168.43,152,83528.88,379,329,50,374,346,0
MV-26505,Men Leather Belts Relaxed,RSE,Rose Poudre,Leather Goods,Men,Belts,Leather Belts,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,25131.41,7106.42,33,33780.75,16005.55,4899.09,23,23544.16,60,49,11,40,37,0
MV-78614,Women Trousers Signature,BLU,Bleu Marine,Ready-to-Wear,Women,Bottoms,Trousers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,14854.25,4369.46,47,20229.99,18383.33,6566.94,55,23673.39,119,95,24,164,150,0
MV-29080,Men Jackets Relaxed,VRT,Vert,Ready-to-Wear,Men,Outerwear,Jackets,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,9312.57,2698.56,41,11473.09,6791.88,2225.27,31,8674.77,58,35,23,42,36,0
MV-21542,Women Clutches Signature,TAN,Tan,Leather Goods,Women,Handbags,Clutches,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,27773.98,7086.17,37,32802.69,18049.19,6175.56,26,23050.54,136,131,5,85,71,0
MV-52487,Men Mini Bags Luxe,SBL,Sable,Leather Goods,Men,Handbags,Mini Bags,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,49612.81,14915.38,94,67535.72,63175.76,19649.94,116,83341.95,302,182,120,349,305,0
MV-76039,Women Boots Relaxed,VRT,Vert,Footwear,Women,Heels,Boots,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,37375.25,10405.06,47,51330.78,32167.48,9787.43,39,42593.63,70,45,25,62,58,0
MV-56019,Men Shorts Slim,SBL,Sable,Ready-to-Wear,Men,Bottoms,Shorts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,13968.6,4224.13,24,17075.18,12528.0,3163.77,24,17075.18,92,59,33,84,82,0
MV-44099,Women Trousers Essential,BRG,Bordeaux,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,3573.51,1302.27,18,4419.49,4687.67,1457.38,22,5401.6,18,12,6,22,20,0
MV-82512,Women Shorts Heritage,CRM,Cognac,Ready-to-Wear,Women,Bottoms,Shorts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,1284.94,468.97,2,1657.7,1151.41,409.26,2,1657.7,1,0,1,0,0,0
MV-26074,Women Fedoras Slim,TAN,Tan,Accessories,Women,Hats,Fedoras,MVS,MV Signature,300,70,EU_F07M,MV Flagship Paris,33667.93,10958.08,55,46418.07,40798.44,12911.04,67,56545.65,116,86,30,121,83,0
MV-62296,Unisex Bracelets Signature,BEG,Beige,Accessories,Unisex,Jewelry,Bracelets,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,5843.51,2166.71,16,7496.32,6416.88,1717.78,17,7964.84,20,19,1,17,11,0
MV-48504,Women Slides Signature,ECR,Ecru,Footwear,Women,Flats,Slides,MVS,MV Signature,300,70,EU_F07M,MV Flagship Paris,2804.03,982.84,10,3843.69,2271.31,841.01,9,3459.32,31,25,6,26,17,0
MV-27892,Men Suit Trousers Modern,CRM,Cognac,Ready-to-Wear,Men,Suits,Suit Trousers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,34973.26,12098.48,67,48797.61,35125.11,10372.11,69,50254.26,147,92,55,181,165,0
MV-78614,Women Trousers Signature,BRG,Bordeaux,Ready-to-Wear,Women,Bottoms,Trousers,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,32072.47,9775.58,72,43189.65,31878.54,8113.28,74,44389.36,275,182,93,294,177,0
MV-40005,Men Silk Scarves Classic,SBL,Sable,Accessories,Men,Scarves,Silk Scarves,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,56511.87,21429.62,88,68257.46,36557.02,10365.72,62,48090.48,172,152,20,104,94,0
MV-49251,Men Slides Classic,IVR,Ivoire,Footwear,Men,Flats,Slides,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,19940.36,5264.94,44,27411.34,21040.1,5831.32,44,27411.34,152,114,38,125,75,0
MV-57920,Women Blazers Slim,IVR,Ivoire,Ready-to-Wear,Women,Outerwear,Blazers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,92820.13,23821.93,142,133830.84,89831.72,33432.27,134,126291.08,434,267,167,396,358,0
MV-58434,Women Shoulder Bags Heritage,BLU,Bleu Marine,Leather Goods,Women,Handbags,Shoulder Bags,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,107225.78,28819.58,174,144384.6,106280.59,32169.99,169,140235.62,382,237,145,393,373,0
MV-16839,Unisex Key Holders Luxe,ARG,Argent,Leather Goods,Unisex,Small Leather Goods,Key Holders,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,33650.97,10260.43,104,48984.33,29103.99,7964.79,86,40506.28,206,195,11,156,135,0
MV-51441,Women Jackets Modern,BLU,Bleu Marine,Ready-to-Wear,Women,Outerwear,Jackets,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,14749.89,4582.17,64,18504.73,12805.25,3682.79,53,15324.23,95,57,38,67,59,0
MV-96341,Women Card Holders Signature,ANT,Anthracite,Leather Goods,Women,Small Leather Goods,Card Holders,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,17693.43,5485.72,22,22493.53,12692.16,4476.84,18,18403.79,64,46,18,64,42,0
MV-80282,Unisex Baseball Caps Signature,CAM,Camel,Accessories,Unisex,Hats,Baseball Caps,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,137162.45,46017.87,258,170227.04,158770.66,56458.85,298,196618.83,168,126,42,171,111,0
MV-30730,Men High Top Luxe,VRT,Vert,Footwear,Men,Sneakers,High Top,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,7343.4,1964.81,20,9467.17,7342.18,2501.5,21,9940.52,74,49,25,88,73,0
MV-53025,Men Loafers Heritage,ROG,Rouge,Footwear,Men,Flats,Loafers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,10281.17,2725.89,14,14073.74,11596.71,2974.25,15,15079.0,31,24,7,39,36,0
MV-80282,Unisex Baseball Caps Signature,BLU,Bleu Marine,Accessories,Unisex,Hats,Baseball Caps,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,16075.5,4118.76,37,19987.04,14161.5,4828.31,32,17286.09,85,70,15,78,63,0
MV-80143,Men Knitwear Classic,ECR,Ecru,Ready-to-Wear,Men,Tops,Knitwear,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,773.2,279.99,3,1002.17,752.2,205.97,3,1002.17,3,2,1,3,2,0
MV-69634,Women Day Dresses Signature,ARG,Argent,Ready-to-Wear,Women,Dresses,Day Dresses,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,115071.68,37215.9,243,149818.98,116416.81,38029.84,234,144270.13,565,539,26,436,290,0
MV-67104,Men Sandals Essential,TAN,Tan,Footwear,Men,Heels,Sandals,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,34112.04,10669.67,56,45514.23,28026.91,8908.45,44,35761.18,177,110,67,115,84,0
MV-66881,Men Trousers Modern,BLU,Bleu Marine,Ready-to-Wear,Men,Bottoms,Trousers,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,32865.61,9910.47,51,43357.08,38811.77,11285.36,61,51858.46,200,135,65,261,162,0
MV-83975,Unisex Baseball Caps Classic,BEG,Beige,Accessories,Unisex,Hats,Baseball Caps,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,14270.01,5323.12,67,18128.68,16105.97,5954.45,82,22187.34,198,180,18,278,238,0
MV-60181,Women Jackets Classic,BLU,Bleu Marine,Ready-to-Wear,Women,Outerwear,Jackets,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,22909.36,8359.54,43,28294.87,19419.54,5733.64,36,23688.73,68,62,6,61,60,0
MV-66349,Women Crossbody Bags Modern,GRG,Greige,Leather Goods,Women,Handbags,Crossbody Bags,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,1483.14,371.52,2,1980.98,738.34,254.4,1,990.49,3,1,2,2,1,0
MV-57943,Women Shorts Essential,VRT,Vert,Ready-to-Wear,Women,Bottoms,Shorts,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,27908.63,7617.8,60,36028.18,24343.23,9141.67,52,31224.42,186,185,1,164,135,0
MV-64377,Women Trousers Essential,CHP,Champagne,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,39507.26,11864.48,79,55539.94,31883.11,9333.81,70,49212.61,155,143,12,125,113,0
MV-94058,Women Chain Belts,ECR,Ecru,Leather Goods,Women,Belts,Chain Belts,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,11770.09,3465.27,34,14738.41,8250.97,3016.94,26,11270.55,24,15,9,20,18,0
MV-15513,Unisex Shorts Heritage,ROG,Rouge,Ready-to-Wear,Unisex,Bottoms,Shorts,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,49451.85,15528.56,89,64805.01,35190.2,12659.02,68,49513.94,175,140,35,154,149,0
MV-12128,Women Cat Eye Signature,SBL,Sable,Accessories,Women,Sunglasses,Cat Eye,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,8995.43,2769.32,16,11630.24,9536.14,2966.98,17,12357.13,15,10,5,17,16,0
MV-94675,Women Trousers Essential,GRG,Greige,Ready-to-Wear,Women,Bottoms,Trousers,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,10209.42,3738.38,15,13795.32,10052.77,2569.17,16,14715.01,51,42,9,62,37,0
MV-96761,Men Jackets Essential,BLU,Bleu Marine,Ready-to-Wear,Men,Outerwear,Jackets,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,6084.74,1994.51,11,8542.62,5454.78,1980.67,10,7766.02,10,9,1,9,6,0
MV-25043,Men Loafers,SBL,Sable,Footwear,Men,Flats,Loafers,MVS,MV Signature,300,50,EU_F07M,MV Flagship Paris,15524.76,5517.24,29,19720.34,9458.22,2376.97,20,13600.23,21,17,4,13,11,0
MV-47243,Men Boots Heritage,BEG,Beige,Footwear,Men,Heels,Boots,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,91687.36,33831.07,119,118525.97,64462.8,21025.99,91,90637.51,110,95,15,94,64,0
MV-25974,Women Chain Belts,CRM,Cognac,Leather Goods,Women,Belts,Chain Belts,MV,Maison Voss,300,30,EU_F07M,MV Flagship Paris,40625.27,14009.02,111,55101.26,35557.88,12138.3,101,50137.18,401,297,104,365,275,0
MV-40007,Women Tote Bags Modern,NVY,Navy,Leather Goods,Women,Handbags,Tote Bags,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,27712.51,8556.09,30,35589.68,33792.14,11195.23,33,39148.64,84,68,16,93,62,0
MV-65296,Women Ankle Boots Slim,ARG,Argent,Footwear,Women,Boots,Ankle Boots,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,31314.28,10784.84,56,39282.96,33594.7,10025.89,61,42790.37,169,127,42,168,153,0
MV-92478,Women Blazers Classic,ANT,Anthracite,Ready-to-Wear,Women,Outerwear,Blazers,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,40210.56,11691.89,80,54800.25,56835.26,17967.58,102,69870.32,146,137,9,215,173,0
MV-45986,Women Chain Belts Classic,NOI,Noir,Leather Goods,Women,Belts,Chain Belts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,19298.96,7103.86,17,23844.87,24542.28,8374.49,21,29455.42,64,52,12,83,52,0
MV-10336,Men Blazers Heritage,CRM,Creme,Ready-to-Wear,Men,Suits,Blazers,MV,Maison Voss,300,70,EU_F07M,MV Flagship Paris,7047.27,2658.12,11,9347.03,5662.71,2130.39,8,6797.84,9,6,3,7,4,0
MV-22833,Women Midi Dresses Classic,NVY,Navy,Ready-to-Wear,Women,Dresses,Midi Dresses,MVS,MV Signature,300,30,EU_F07M,MV Flagship Paris,63820.84,21645.64,227,94480.35,71654.36,24987.65,251,104469.46,564,344,220,631,406,0
MV-70521,Men Mules Luxe,TAN,Tan,Footwear,Men,Heels,Mules,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,31130.83,10357.61,61,40932.43,33701.41,11962.41,64,42945.5,112,81,31,97,72,0
MV-84341,Men Sandals Signature,NVY,Navy,Footwear,Men,Heels,Sandals,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,193107.96,66999.31,252,278518.43,202336.97,65553.08,261,288465.51,589,447,142,489,370,0
MV-47880,Women Shorts Relaxed,GRG,Greige,Ready-to-Wear,Women,Bottoms,Shorts,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,14727.81,4229.96,26,20824.62,16034.88,4663.05,31,24829.36,37,32,5,51,31,0
MV-12128,Women Cat Eye Signature,ROG,Rouge,Accessories,Women,Sunglasses,Cat Eye,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,14378.44,4190.3,77,19367.99,12830.64,4844.53,64,16098.07,141,127,14,102,61,0
MV-51441,Women Jackets Modern,ECR,Ecru,Ready-to-Wear,Women,Outerwear,Jackets,MVS,MV Signature,300,20,EU_F07M,MV Flagship Paris,4688.52,1639.5,15,7052.06,5638.96,1818.28,17,7992.33,55,43,12,70,45,0
MV-91490,Women Midi Dresses,VRT,Vert,Ready-to-Wear,Women,Dresses,Midi Dresses,MV,Maison Voss,300,20,EU_F07M,MV Flagship Paris,7954.77,2628.41,19,10884.59,8255.18,2501.21,20,11457.47,39,32,7,46,45,0
MV-67961,Men Wool Scarves Heritage,BLU,Bleu Marine,Accessories,Men,Scarves,Wool Scarves,MV,Maison Voss,300,50,EU_F07M,MV Flagship Paris,9074.2,2888.1,45,11340.69,8671.95,2961.67,40,10080.61,177,134,43,189,173,0
