transaction_id,client_id,transaction_date,channel,category,product_name,quantity,unit_price,net_sales_amount,primary_category,secondary_category,favorite_product
TXN-MS-803268,MVC-00009,2024-12-31,Digital,Skincare,Bouclier Jour SPF50,2,336.01,672.02,Fragrance,Skincare,Solène Nº3
TXN-MS-738377,MVC-00009,2025-10-02,Digital,Fragrance,Platine Ardent,1,264.65,264.65,Fragrance,Skincare,Solène Nº3
TXN-MS-625732,MVC-00009,2023-11-19,Digital,Fragrance,Platine Ardent,2,251.35,502.7,Fragrance,Skincare,Solène Nº3
TXN-MS-479113,MVC-00009,2025-12-18,Digital,Fragrance,Platine Ardent,1,188.3,188.3,Fragrance,Skincare,Solène Nº3
TXN-MS-265498,MVC-00009,2024-05-11,Digital,Fragrance,Cobalt Nuit,2,132.87,265.74,Fragrance,Skincare,Solène Nº3
TXN-MS-353349,MVC-00009,2024-06-22,Digital,Fragrance,Mademoiselle de Solène,1,136.6,136.6,Fragrance,Skincare,Solène Nº3
TXN-MS-296928,MVC-00009,2024-03-07,Digital,Fragrance,Velours Noir,2,327.88,655.76,Fragrance,Skincare,Solène Nº3
TXN-MS-743942,MVC-00009,2024-11-05,Digital,Fragrance,Velours Noir,1,280.96,280.96,Fragrance,Skincare,Solène Nº3
TXN-MS-122479,MVC-00010,2025-04-08,Phone,Body Care,Mademoiselle de Solène Body Cream,2,85.38,170.76,Fragrance,Body Care,Solène Nº3
TXN-MS-377252,MVC-00010,2025-03-30,Phone,Fragrance,Empire Homme,1,411.52,411.52,Fragrance,Body Care,Solène Nº3
TXN-MS-598912,MVC-00010,2025-06-07,Phone,Fragrance,Céleste,2,299.83,599.66,Fragrance,Body Care,Solène Nº3
TXN-MS-136197,MVC-00010,2024-07-14,Phone,Body Care,Céleste Body Oil,2,143.96,287.92,Fragrance,Body Care,Solène Nº3
TXN-MS-984464,MVC-00010,2024-02-26,Phone,Fragrance,Velours Noir,2,398.62,797.24,Fragrance,Body Care,Solène Nº3
TXN-MS-128328,MVC-00010,2024-10-04,Phone,Fragrance,Empire Homme,1,277.4,277.4,Fragrance,Body Care,Solène Nº3
TXN-MS-554756,MVC-00010,2025-09-29,Phone,Fragrance,Platine Ardent,2,393.89,787.78,Fragrance,Body Care,Solène Nº3
TXN-MS-776198,MVC-00010,2026-01-18,Phone,Body Care,Céleste Body Oil,2,79.33,158.66,Fragrance,Body Care,Solène Nº3
TXN-MS-746282,MVC-00010,2024-12-31,Phone,Fragrance,Empire Homme,2,139.44,278.88,Fragrance,Body Care,Solène Nº3
TXN-MS-855850,MVC-00011,2025-03-27,Boutique,Fragrance,Solène Nº3 L'Eau,2,344.29,688.58,Fragrance,Body Care,Empire Homme
TXN-MS-346258,MVC-00012,2025-06-26,Boutique,Fragrance,Céleste,2,370.9,741.8,Fragrance,Skincare,Éclat de Printemps
TXN-MS-850586,MVC-00012,2025-03-09,Boutique,Skincare,Bouclier Jour SPF50,1,249.6,249.6,Fragrance,Skincare,Éclat de Printemps
TXN-MS-578700,MVC-00012,2024-04-15,Boutique,Fragrance,Platine Ardent,2,301.56,603.12,Fragrance,Skincare,Éclat de Printemps
TXN-MS-497266,MVC-00012,2024-07-07,Boutique,Fragrance,Solène Nº3,2,329.29,658.58,Fragrance,Skincare,Éclat de Printemps
TXN-MS-135799,MVC-00012,2026-01-04,Boutique,Fragrance,Empire Homme,1,400.3,400.3,Fragrance,Skincare,Éclat de Printemps
TXN-MS-878201,MVC-00013,2023-11-04,Boutique,Fragrance,Solène Nº3,2,258.06,516.12,Fragrance,Body Care,Velours Noir
TXN-MS-827495,MVC-00014,2025-01-14,Boutique,Hair Care,Sérum Cheveux Éclat,2,97.04,194.08,Fragrance,Hair Care,Céleste
TXN-MS-213530,MVC-00015,2024-07-03,Event,Body Care,Céleste Body Oil,2,64.64,129.28,Skincare,Body Care,Éternelle Crème
TXN-MS-222700,MVC-00015,2024-07-12,Event,Skincare,Bouclier Jour SPF50,1,193.2,193.2,Skincare,Body Care,Éternelle Crème
TXN-MS-622147,MVC-00015,2025-01-15,Event,Skincare,Renaissance Crème Nº1,1,126.48,126.48,Skincare,Body Care,Éternelle Crème
TXN-MS-464884,MVC-00016,2025-09-28,Digital,Skincare,Renaissance Crème Nº1,1,200.76,200.76,Skincare,Body Care,Renaissance Crème Nº1
TXN-MS-713859,MVC-00016,2024-04-27,Digital,Skincare,Raffermissant Sérum,1,358.38,358.38,Skincare,Body Care,Renaissance Crème Nº1
TXN-MS-434305,MVC-00016,2025-10-20,Digital,Skincare,Éternelle Crème,2,339.99,679.98,Skincare,Body Care,Renaissance Crème Nº1
TXN-MS-418460,MVC-00017,2025-09-25,Boutique,Makeup,Voile Naturel Foundation,1,54.52,54.52,Makeup,Hair Care,Lumière Aqua
TXN-MS-298742,MVC-00017,2026-01-05,Boutique,Hair Care,Masque Nocturne,1,77.96,77.96,Makeup,Hair Care,Lumière Aqua
TXN-MS-318742,MVC-00017,2025-07-23,Boutique,Makeup,Ombre Royale Eyeshadow,1,72.16,72.16,Makeup,Hair Care,Lumière Aqua
TXN-MS-715783,MVC-00017,2024-08-28,Boutique,Makeup,Rouge Solène Velours,2,65.35,130.7,Makeup,Hair Care,Lumière Aqua
TXN-MS-726772,MVC-00017,2024-08-17,Boutique,Makeup,Lumière Aqua,2,99.04,198.08,Makeup,Hair Care,Lumière Aqua
TXN-MS-531177,MVC-00017,2025-07-19,Boutique,Hair Care,Huile de Rose Hair Oil,1,133.95,133.95,Makeup,Hair Care,Lumière Aqua
TXN-MS-143029,MVC-00018,2023-05-05,Boutique,Body Care,Céleste Body Oil,2,162.19,324.38,Skincare,Body Care,Éternelle Crème
TXN-MS-705978,MVC-00019,2023-11-29,Boutique,Makeup,Voile Naturel Foundation,2,118.52,237.04,Makeup,Skincare,Rouge Solène Velours
TXN-MS-238764,MVC-00020,2025-06-09,Boutique,Skincare,Éternelle Crème,2,100.77,201.54,Fragrance,Skincare,Velours Noir
TXN-MS-241512,MVC-00020,2025-11-18,Boutique,Fragrance,Velours Noir,2,294.9,589.8,Fragrance,Skincare,Velours Noir
TXN-MS-679333,MVC-00020,2025-10-28,Boutique,Fragrance,Céleste,1,122.23,122.23,Fragrance,Skincare,Velours Noir
TXN-MS-149634,MVC-00020,2025-07-08,Boutique,Fragrance,Solène Nº3,2,142.42,284.84,Fragrance,Skincare,Velours Noir
TXN-MS-880190,MVC-00020,2025-07-26,Boutique,Fragrance,Éclat de Printemps,1,287.89,287.89,Fragrance,Skincare,Velours Noir
TXN-MS-880448,MVC-00021,2024-07-14,Boutique,Fragrance,Éclat d'Aurore,2,136.01,272.02,Fragrance,Body Care,Céleste
TXN-MS-674545,MVC-00022,2024-10-14,Boutique,Body Care,Solène Nº3 Body Lotion,1,133.59,133.59,Body Care,Hair Care,Mademoiselle de Solène Body Cream
TXN-MS-670019,MVC-00022,2023-12-17,Boutique,Body Care,Mademoiselle de Solène Body Cream,1,131.31,131.31,Body Care,Hair Care,Mademoiselle de Solène Body Cream
TXN-MS-623847,MVC-00022,2024-05-25,Boutique,Body Care,Solène Nº3 Body Lotion,1,115.09,115.09,Body Care,Hair Care,Mademoiselle de Solène Body Cream
TXN-MS-138727,MVC-00023,2024-03-09,Boutique,Fragrance,Solène Nº3 L'Eau,2,211.82,423.64,Fragrance,Skincare,Mademoiselle de Solène
TXN-MS-974180,MVC-00024,2023-12-01,Boutique,Fragrance,Solène Nº3,1,187.51,187.51,Fragrance,Skincare,Céleste
TXN-MS-385438,MVC-00025,2025-08-04,Digital,Fragrance,Platine Ardent,2,314.62,629.24,Body Care,Fragrance,Mademoiselle de Solène Body Cream
TXN-MS-245257,MVC-00025,2025-12-02,Digital,Body Care,Mademoiselle de Solène Body Cream,1,103.29,103.29,Body Care,Fragrance,Mademoiselle de Solène Body Cream
TXN-MS-537308,MVC-00025,2026-03-22,Digital,Fragrance,Céleste,1,395.09,395.09,Body Care,Fragrance,Mademoiselle de Solène Body Cream
TXN-MS-987556,MVC-00026,2025-06-16,Boutique,Fragrance,Éclat d'Aurore,1,249.83,249.83,Fragrance,Makeup,Céleste
TXN-MS-775198,MVC-00026,2026-01-08,Boutique,Fragrance,Empire Homme,2,305.27,610.54,Fragrance,Makeup,Céleste
TXN-MS-966207,MVC-00026,2024-09-27,Boutique,Fragrance,Éclat d'Aurore,1,218.95,218.95,Fragrance,Makeup,Céleste
TXN-MS-611195,MVC-00026,2025-12-13,Boutique,Fragrance,Céleste,2,295.09,590.18,Fragrance,Makeup,Céleste
TXN-MS-839184,MVC-00027,2024-11-15,Digital,Fragrance,Platine Ardent,1,373.0,373.0,Fragrance,Hair Care,Éclat de Printemps
TXN-MS-947278,MVC-00027,2024-10-10,Digital,Fragrance,Solène Nº3,2,144.79,289.58,Fragrance,Hair Care,Éclat de Printemps
TXN-MS-919698,MVC-00027,2024-04-16,Digital,Fragrance,Éclat de Printemps,2,161.43,322.86,Fragrance,Hair Care,Éclat de Printemps
TXN-MS-276514,MVC-00028,2023-10-25,Phone,Fragrance,Cobalt Nuit,1,176.19,176.19,Fragrance,Body Care,Cobalt Nuit
TXN-MS-779513,MVC-00029,2024-01-10,Event,Skincare,Bouclier Jour SPF50,2,94.75,189.5,Skincare,Makeup,Raffermissant Sérum
TXN-MS-301480,MVC-00029,2024-11-28,Event,Makeup,Voile Naturel Foundation,2,58.76,117.52,Skincare,Makeup,Raffermissant Sérum
TXN-MS-107797,MVC-00030,2025-01-29,Boutique,Fragrance,Céleste,1,404.51,404.51,Fragrance,Makeup,Platine Ardent
TXN-MS-487967,MVC-00030,2025-03-31,Boutique,Makeup,Volume Sculpté Mascara,2,59.47,118.94,Fragrance,Makeup,Platine Ardent
TXN-MS-317354,MVC-00030,2023-12-27,Boutique,Fragrance,Velours Noir,1,396.41,396.41,Fragrance,Makeup,Platine Ardent
TXN-MS-639988,MVC-00031,2025-04-21,Phone,Fragrance,Céleste,1,341.34,341.34,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-435429,MVC-00031,2025-08-16,Phone,Fragrance,Solène Nº3,2,360.94,721.88,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-884249,MVC-00031,2025-05-27,Phone,Hair Care,Sérum Cheveux Éclat,1,89.27,89.27,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-683181,MVC-00031,2025-01-04,Phone,Hair Care,Huile de Rose Hair Oil,2,53.14,106.28,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-443541,MVC-00031,2025-02-06,Phone,Hair Care,Sérum Cheveux Éclat,1,125.37,125.37,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-382652,MVC-00031,2025-10-08,Phone,Hair Care,Huile de Rose Hair Oil,2,141.29,282.58,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-687011,MVC-00031,2024-05-18,Phone,Fragrance,Empire Homme,1,256.22,256.22,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-749302,MVC-00031,2023-06-02,Phone,Hair Care,Masque Nocturne,2,112.1,224.2,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-464435,MVC-00031,2023-09-27,Phone,Hair Care,Sérum Cheveux Éclat,1,147.99,147.99,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-725603,MVC-00031,2023-10-12,Phone,Hair Care,Masque Nocturne,1,92.77,92.77,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-481096,MVC-00032,2024-08-10,Boutique,Fragrance,Mademoiselle de Solène,2,130.66,261.32,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-404605,MVC-00032,2025-07-08,Boutique,Hair Care,Masque Nocturne,2,89.09,178.18,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-330510,MVC-00032,2024-12-13,Boutique,Fragrance,Céleste,2,353.18,706.36,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-733854,MVC-00032,2025-12-25,Boutique,Hair Care,Masque Nocturne,2,92.56,185.12,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-388916,MVC-00032,2025-03-02,Boutique,Fragrance,Éclat de Printemps,1,170.61,170.61,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-975295,MVC-00032,2024-10-08,Boutique,Hair Care,Huile de Rose Hair Oil,1,73.3,73.3,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-635164,MVC-00032,2025-08-04,Boutique,Fragrance,Éclat d'Aurore,2,248.71,497.42,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-201391,MVC-00032,2024-12-05,Boutique,Fragrance,Mademoiselle de Solène,2,277.95,555.9,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-523515,MVC-00032,2024-12-10,Boutique,Fragrance,Solène Nº3,1,284.6,284.6,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-888389,MVC-00032,2024-05-31,Boutique,Hair Care,Sérum Cheveux Éclat,2,144.05,288.1,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-180984,MVC-00032,2024-05-08,Boutique,Fragrance,Empire Homme,1,144.62,144.62,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-271814,MVC-00033,2024-11-27,Digital,Fragrance,Mademoiselle de Solène,1,403.87,403.87,Fragrance,Skincare,Éclat d'Aurore
TXN-MS-970778,MVC-00034,2025-08-02,Boutique,Skincare,Éternelle Crème,2,169.13,338.26,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-337672,MVC-00034,2025-09-07,Boutique,Hair Care,Masque Nocturne,1,67.08,67.08,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-179841,MVC-00034,2025-12-15,Boutique,Skincare,Renaissance Crème Nº1,2,224.78,449.56,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-463063,MVC-00034,2025-09-24,Boutique,Skincare,Source Hydra Gel,1,247.27,247.27,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-793662,MVC-00035,2025-03-14,Digital,Fragrance,Velours Noir,2,416.75,833.5,Fragrance,Skincare,Céleste
TXN-MS-419199,MVC-00035,2025-02-20,Digital,Fragrance,Empire Homme,2,328.87,657.74,Fragrance,Skincare,Céleste
TXN-MS-573561,MVC-00035,2025-02-08,Digital,Fragrance,Cobalt Nuit,1,254.1,254.1,Fragrance,Skincare,Céleste
TXN-MS-882086,MVC-00036,2023-10-24,Boutique,Fragrance,Platine Ardent,1,308.54,308.54,Fragrance,Makeup,Empire Homme
TXN-MS-503560,MVC-00037,2023-09-07,Digital,Body Care,Solène Nº3 Body Lotion,1,118.21,118.21,Body Care,Makeup,Mademoiselle de Solène Body Cream
TXN-MS-230361,MVC-00038,2024-09-16,Phone,Skincare,Raffermissant Sérum,2,158.76,317.52,Makeup,Skincare,Ombre Royale Eyeshadow
TXN-MS-181713,MVC-00039,2025-05-28,Digital,Fragrance,Empire Homme,2,198.21,396.42,Fragrance,Hair Care,Éclat d'Aurore
TXN-MS-235647,MVC-00040,2025-10-10,Boutique,Body Care,Mademoiselle de Solène Body Cream,2,94.73,189.46,Fragrance,Body Care,Solène Nº3
TXN-MS-106358,MVC-00040,2024-09-12,Boutique,Body Care,Mademoiselle de Solène Body Cream,2,97.35,194.7,Fragrance,Body Care,Solène Nº3
TXN-MS-972410,MVC-00040,2023-06-12,Boutique,Body Care,Mademoiselle de Solène Body Cream,1,140.5,140.5,Fragrance,Body Care,Solène Nº3
TXN-MS-419067,MVC-00040,2025-01-29,Boutique,Fragrance,Cobalt Nuit,1,302.05,302.05,Fragrance,Body Care,Solène Nº3
TXN-MS-984105,MVC-00040,2024-02-12,Boutique,Fragrance,Céleste,2,267.68,535.36,Fragrance,Body Care,Solène Nº3
TXN-MS-389500,MVC-00041,2025-02-03,Boutique,Fragrance,Empire Homme,1,234.35,234.35,Fragrance,Body Care,Éclat d'Aurore
TXN-MS-597061,MVC-00042,2023-09-17,Boutique,Fragrance,Cobalt Nuit,2,418.12,836.24,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-107555,MVC-00042,2024-05-17,Boutique,Fragrance,Éclat d'Aurore,2,388.67,777.34,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-116359,MVC-00042,2023-08-06,Boutique,Fragrance,Mademoiselle de Solène,1,308.79,308.79,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-788901,MVC-00042,2023-02-17,Boutique,Fragrance,Platine Ardent,1,232.3,232.3,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-203429,MVC-00042,2024-10-10,Boutique,Hair Care,Huile de Rose Hair Oil,2,81.16,162.32,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-668993,MVC-00042,2024-08-31,Boutique,Fragrance,Empire Homme,1,218.07,218.07,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-283332,MVC-00042,2025-10-29,Boutique,Hair Care,Masque Nocturne,2,104.9,209.8,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-661091,MVC-00042,2025-04-23,Boutique,Fragrance,Mademoiselle de Solène,1,373.47,373.47,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-501205,MVC-00042,2024-07-16,Boutique,Fragrance,Velours Noir,1,275.57,275.57,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-783818,MVC-00042,2024-11-03,Boutique,Fragrance,Solène Nº3 L'Eau,1,334.06,334.06,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-925902,MVC-00042,2023-03-25,Boutique,Hair Care,Sérum Cheveux Éclat,1,53.15,53.15,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-103362,MVC-00042,2024-11-05,Boutique,Hair Care,Masque Nocturne,2,77.55,155.1,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-374429,MVC-00042,2024-06-03,Boutique,Fragrance,Éclat de Printemps,1,233.3,233.3,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-636478,MVC-00042,2025-02-07,Boutique,Hair Care,Huile de Rose Hair Oil,1,117.41,117.41,Fragrance,Hair Care,Solène Nº3 L'Eau
TXN-MS-616927,MVC-00043,2025-06-10,Boutique,Skincare,Éternelle Crème,1,95.83,95.83,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-947009,MVC-00043,2025-10-16,Boutique,Hair Care,Huile de Rose Hair Oil,1,121.45,121.45,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-973176,MVC-00043,2025-04-13,Boutique,Skincare,Éternelle Crème,1,314.65,314.65,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-253240,MVC-00044,2024-10-22,Event,Body Care,Solène Nº3 Body Lotion,1,67.11,67.11,Body Care,Makeup,Mademoiselle de Solène Body Cream
TXN-MS-586882,MVC-00045,2024-04-23,Phone,Hair Care,Masque Nocturne,2,108.51,217.02,Makeup,Hair Care,Voile Naturel Foundation
TXN-MS-372814,MVC-00046,2025-02-08,Digital,Skincare,Éternelle Crème,2,129.29,258.58,Skincare,Hair Care,Bouclier Jour SPF50
TXN-MS-299055,MVC-00046,2024-04-05,Digital,Skincare,Raffermissant Sérum,2,338.36,676.72,Skincare,Hair Care,Bouclier Jour SPF50
TXN-MS-410355,MVC-00047,2025-02-19,Boutique,Makeup,Lumière Aqua,2,104.75,209.5,Makeup,Hair Care,Voile Naturel Foundation
TXN-MS-739697,MVC-00047,2023-11-18,Boutique,Makeup,Ombre Royale Eyeshadow,1,105.92,105.92,Makeup,Hair Care,Voile Naturel Foundation
TXN-MS-194072,MVC-00047,2025-08-20,Boutique,Makeup,Lumière Aqua,2,110.6,221.2,Makeup,Hair Care,Voile Naturel Foundation
TXN-MS-405094,MVC-00048,2023-10-25,Digital,Fragrance,Céleste,2,154.34,308.68,Fragrance,Body Care,Velours Noir
TXN-MS-485023,MVC-00049,2023-08-06,Boutique,Fragrance,Mademoiselle de Solène,2,330.36,660.72,Fragrance,Hair Care,Céleste
TXN-MS-832048,MVC-00050,2025-04-20,Boutique,Body Care,Céleste Body Oil,1,177.36,177.36,Skincare,Body Care,Renaissance Crème Nº1
TXN-MS-532788,MVC-00050,2025-06-11,Boutique,Body Care,Mademoiselle de Solène Body Cream,1,111.36,111.36,Skincare,Body Care,Renaissance Crème Nº1
TXN-MS-298536,MVC-00051,2025-06-13,Digital,Makeup,Volume Sculpté Mascara,1,92.71,92.71,Skincare,Makeup,Raffermissant Sérum
TXN-MS-663895,MVC-00052,2025-03-23,Digital,Makeup,Ombre Royale Eyeshadow,1,88.74,88.74,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-263168,MVC-00052,2025-10-07,Digital,Makeup,Volume Sculpté Mascara,1,64.05,64.05,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-437726,MVC-00052,2025-04-26,Digital,Makeup,Ombre Royale Eyeshadow,2,62.3,124.6,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-517489,MVC-00052,2025-02-09,Digital,Makeup,Volume Sculpté Mascara,2,75.62,151.24,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-556801,MVC-00052,2025-05-17,Digital,Makeup,Voile Naturel Foundation,2,81.19,162.38,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-463915,MVC-00052,2025-02-22,Digital,Makeup,Ombre Royale Eyeshadow,2,79.24,158.48,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-182079,MVC-00052,2025-12-11,Digital,Makeup,Voile Naturel Foundation,1,46.42,46.42,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-473751,MVC-00052,2025-02-04,Digital,Makeup,Rouge Solène Velours,2,59.63,119.26,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-401196,MVC-00052,2025-12-18,Digital,Makeup,Lumière Aqua,2,54.28,108.56,Makeup,Body Care,Voile Naturel Foundation
TXN-MS-402554,MVC-00053,2024-04-05,Boutique,Fragrance,Empire Homme,2,346.36,692.72,Fragrance,Body Care,Éclat de Printemps
TXN-MS-689223,MVC-00054,2025-10-22,Boutique,Fragrance,Céleste,1,305.53,305.53,Fragrance,Body Care,Empire Homme
TXN-MS-137662,MVC-00054,2025-04-11,Boutique,Fragrance,Empire Homme,1,380.28,380.28,Fragrance,Body Care,Empire Homme
TXN-MS-281277,MVC-00054,2025-05-14,Boutique,Body Care,Céleste Body Oil,2,89.87,179.74,Fragrance,Body Care,Empire Homme
TXN-MS-928116,MVC-00054,2025-03-09,Boutique,Fragrance,Solène Nº3 L'Eau,2,178.71,357.42,Fragrance,Body Care,Empire Homme
TXN-MS-658442,MVC-00054,2025-08-18,Boutique,Fragrance,Éclat de Printemps,2,402.1,804.2,Fragrance,Body Care,Empire Homme
TXN-MS-535388,MVC-00055,2023-10-08,Boutique,Fragrance,Empire Homme,2,262.75,525.5,Fragrance,Hair Care,Solène Nº3
TXN-MS-939722,MVC-00056,2024-05-16,Boutique,Hair Care,Sérum Cheveux Éclat,1,141.0,141.0,Hair Care,Fragrance,Sérum Cheveux Éclat
TXN-MS-850509,MVC-00057,2025-03-31,Boutique,Hair Care,Huile de Rose Hair Oil,1,67.95,67.95,Skincare,Hair Care,Raffermissant Sérum
TXN-MS-952633,MVC-00058,2024-12-01,Phone,Makeup,Lumière Aqua,1,48.53,48.53,Makeup,Hair Care,Rouge Solène Velours
TXN-MS-682470,MVC-00058,2025-07-02,Phone,Makeup,Voile Naturel Foundation,1,50.91,50.91,Makeup,Hair Care,Rouge Solène Velours
TXN-MS-272253,MVC-00058,2025-04-29,Phone,Hair Care,Huile de Rose Hair Oil,1,76.18,76.18,Makeup,Hair Care,Rouge Solène Velours
